source_phenotype,target_phenotype,statistic,observed_value,permuted_average,p_value,effect
TAM,Ki67 proliferating cells,p10,47.53489310403137,39.87352324507971,0.274,avoidance
TAM,Ki67 proliferating cells,p90,291.4681627158806,312.39897849431225,0.805,attraction
TAM,TAM,mean,76.10400727280474,164.66279069620913,0.003,attraction
TAM,TAM,median,62.51862046280144,127.9133446492717,0.034,attraction
TAM,TAM,p10,16.953759515734788,48.737660872489286,0.11,attraction
TAM,TAM,p90,165.51286388540962,254.2035585746006,0.058,attraction
TAM,T,mean,116.06823260566095,157.61294782019485,0.228,attraction
TAM,T,median,95.12503003974733,131.39281756565924,0.156,attraction
TAM,T,p10,33.39222268405035,49.74792126381811,0.245,attraction
TAM,T,p90,208.28089871336238,299.53264621331317,0.308,attraction
T,Endothelial cells,mean,118.77978975318231,152.61441808009135,0.152,attraction
T,Endothelial cells,median,102.58049890043014,122.98899583429375,0.082,attraction
T,Endothelial cells,p10,40.85392772632497,38.610054381187865,0.38,avoidance
T,Endothelial cells,p90,210.86480792189212,305.21648629401847,0.147,attraction
T,CD68 mac,mean,118.7141323178287,150.32888610934094,0.174,attraction
T,CD68 mac,median,130.60493865087952,122.42317895085193,0.275,avoidance
T,CD68 mac,p10,41.74575321061025,38.88603162968759,0.349,avoidance
T,CD68 mac,p90,181.76187087959678,300.54694292921903,0.029,attraction
T,Ki67 proliferating cells,mean,145.54161569737437,152.62161825932063,0.725,attraction
T,Ki67 proliferating cells,median,140.61312172055577,123.45976147600615,0.158,avoidance
T,Ki67 proliferating cells,p10,50.048576007708164,40.151276642377795,0.224,avoidance
T,Ki67 proliferating cells,p90,232.06391123516346,302.1469283545725,0.405,attraction
T,TAM,mean,107.61946936014436,152.01678427973084,0.144,attraction
T,TAM,median,69.32346483308389,128.97320799053173,0.022,attraction
T,TAM,p10,33.288715980120124,49.73277888102904,0.24,attraction
T,TAM,p90,221.76851395914088,282.69614687748754,0.448,attraction
T,T,mean,168.91569110136882,163.7504578798047,0.322,avoidance
T,T,median,129.24380079836993,126.46749077522341,0.446,avoidance
T,T,p10,47.436831542429914,48.13829113941129,0.542,attraction
T,T,p90,339.1676290719707,251.31558369277855,0.092,avoidance
